time,Frequency(Kmph),Weight(Kg),fiber1_sensor1,Temperature,change in Bragg Wavelength
4.114,10,0,1538.7135,20.235,2.75E-10
4.124,10,0,1538.7138,20.257,2.76E-10
4.134,10,0,1538.7137,20.249,2.76E-10
4.144,10,0,1538.7137,20.249,2.76E-10
4.154,10,0,1538.7138,20.257,2.76E-10
4.164,10,0,1538.7139,20.264,2.76E-10
4.174,10,0,1538.7137,20.249,2.76E-10
4.184,10,0,1538.7139,20.264,2.76E-10
4.194,10,0,1538.714,20.271,2.76E-10
4.204,10,0,1538.7138,20.257,2.76E-10
4.214,10,0,1538.7139,20.264,2.76E-10
4.224,10,0,1538.7139,20.264,2.76E-10
4.234,10,0,1538.7139,20.264,2.76E-10
4.244,10,0,1538.7141,20.279,2.76E-10
4.254,10,0,1538.7141,20.279,2.76E-10
4.264,10,0,1538.7141,20.279,2.76E-10
4.274,10,0,1538.7142,20.286,2.76E-10
4.284,10,0,1538.7142,20.286,2.76E-10
4.294,10,0,1538.7143,20.294,2.76E-10
4.304,10,0,1538.7144,20.301,2.76E-10
4.314,10,0,1538.7143,20.294,2.76E-10
4.324,10,0,1538.7145,20.308,2.76E-10
4.334,10,0,1538.7145,20.308,2.76E-10
4.344,10,0,1538.7145,20.308,2.76E-10
4.354,10,0,1538.7146,20.316,2.77E-10
4.364,10,0,1538.7146,20.316,2.77E-10
4.374,10,0,1538.7146,20.316,2.77E-10
4.384,10,0,1538.7147,20.323,2.77E-10
4.394,10,0,1538.7148,20.33,2.77E-10
4.404,10,0,1538.7148,20.33,2.77E-10
4.414,10,0,1538.7147,20.323,2.77E-10
4.424,10,0,1538.7148,20.33,2.77E-10
4.434,10,0,1538.7148,20.33,2.77E-10
4.444,10,0,1538.7149,20.338,2.77E-10
4.454,10,0,1538.7149,20.338,2.77E-10
4.464,10,0,1538.7149,20.338,2.77E-10
4.474,10,0,1538.715,20.345,2.77E-10
4.484,10,0,1538.715,20.345,2.77E-10
4.494,10,0,1538.7151,20.352,2.77E-10
4.504,10,0,1538.7151,20.352,2.77E-10
4.514,10,0,1538.715,20.345,2.77E-10
4.524,10,0,1538.715,20.345,2.77E-10
4.534,10,0,1538.7151,20.352,2.77E-10
4.544,10,0,1538.7151,20.352,2.77E-10
4.554,10,0,1538.7151,20.352,2.77E-10
4.564,10,0,1538.7152,20.36,2.77E-10
4.574,10,0,1538.7152,20.36,2.77E-10
4.584,10,0,1538.7151,20.352,2.77E-10
4.594,10,0,1538.7152,20.36,2.77E-10
4.604,10,0,1538.7153,20.367,2.77E-10
4.614,10,0,1538.7152,20.36,2.77E-10
4.624,10,0,1538.7153,20.367,2.77E-10
4.634,10,0,1538.7153,20.367,2.77E-10
4.644,10,0,1538.7153,20.367,2.77E-10
4.654,10,0,1538.7153,20.367,2.77E-10
4.664,10,0,1538.7153,20.367,2.77E-10
4.674,10,0,1538.7153,20.367,2.77E-10
4.684,10,0,1538.7154,20.374,2.77E-10
4.694,10,0,1538.7154,20.374,2.77E-10
4.704,10,0,1538.7155,20.382,2.77E-10
4.714,10,0,1538.7156,20.389,2.78E-10
4.724,10,0,1538.7155,20.382,2.77E-10
4.734,10,0,1538.7157,20.396,2.78E-10
4.744,10,0,1538.7157,20.396,2.78E-10
4.754,10,0,1538.7157,20.396,2.78E-10
4.764,10,0,1538.7158,20.404,2.78E-10
4.774,10,0,1538.7158,20.404,2.78E-10
4.784,10,0,1538.7158,20.404,2.78E-10
4.794,10,0,1538.7158,20.404,2.78E-10
4.804,10,0,1538.7159,20.411,2.78E-10
4.814,10,0,1538.7158,20.404,2.78E-10
4.824,10,0,1538.7158,20.404,2.78E-10
4.834,10,0,1538.7158,20.404,2.78E-10
4.844,10,0,1538.7158,20.404,2.78E-10
4.854,10,0,1538.7158,20.404,2.78E-10
4.864,10,0,1538.7158,20.404,2.78E-10
4.874,10,0,1538.7158,20.404,2.78E-10
4.884,10,0,1538.7159,20.411,2.78E-10
4.894,10,0,1538.7159,20.411,2.78E-10
4.904,10,0,1538.7159,20.411,2.78E-10
4.914,10,0,1538.716,20.418,2.78E-10
4.924,10,0,1538.716,20.418,2.78E-10
4.934,10,0,1538.716,20.418,2.78E-10
4.944,10,0,1538.7162,20.433,2.78E-10
4.954,10,0,1538.7162,20.433,2.78E-10
4.964,10,0,1538.7161,20.426,2.78E-10
4.974,10,0,1538.7162,20.433,2.78E-10
4.984,10,0,1538.7162,20.433,2.78E-10
4.994,10,0,1538.7162,20.433,2.78E-10
5.004,10,0,1538.7163,20.44,2.78E-10
5.014,10,0,1538.7163,20.44,2.78E-10
5.024,10,0,1538.7162,20.433,2.78E-10
5.034,10,0,1538.7163,20.44,2.78E-10
5.044,10,0,1538.7163,20.44,2.78E-10
5.054,10,0,1538.7163,20.44,2.78E-10
5.064,10,0,1538.7164,20.448,2.78E-10
5.074,10,0,1538.7164,20.448,2.78E-10
5.084,10,0,1538.7164,20.448,2.78E-10
5.094,10,0,1538.7165,20.455,2.78E-10
5.104,10,0,1538.7165,20.455,2.78E-10
5.114,10,0,1538.7164,20.448,2.78E-10
5.124,10,0,1538.7165,20.455,2.78E-10
5.134,10,0,1538.7163,20.44,2.78E-10
5.144,10,0,1538.7166,20.462,2.79E-10
5.154,10,0,1538.7164,20.448,2.78E-10
5.164,10,0,1538.7165,20.455,2.78E-10
5.174,10,0,1538.7164,20.448,2.78E-10
5.184,10,0,1538.7165,20.455,2.78E-10
5.194,10,0,1538.7164,20.448,2.78E-10
5.204,10,0,1538.7163,20.44,2.78E-10
5.214,10,0,1538.7165,20.455,2.78E-10
5.224,10,0,1538.7163,20.44,2.78E-10
5.234,10,0,1538.7165,20.455,2.78E-10
5.244,10,0,1538.7164,20.448,2.78E-10
5.254,10,0,1538.7164,20.448,2.78E-10
5.264,10,0,1538.7164,20.448,2.78E-10
5.274,10,0,1538.7163,20.44,2.78E-10
5.284,10,0,1538.7163,20.44,2.78E-10
5.294,10,0,1538.7164,20.448,2.78E-10
5.304,10,0,1538.7164,20.448,2.78E-10
5.314,10,0,1538.7165,20.455,2.78E-10
5.324,10,0,1538.7165,20.455,2.78E-10
5.334,10,0,1538.7166,20.462,2.79E-10
5.344,10,0,1538.7165,20.455,2.78E-10
5.354,10,0,1538.7168,20.477,2.79E-10
5.364,10,0,1538.7167,20.47,2.79E-10
5.374,10,0,1538.7167,20.47,2.79E-10
5.384,10,0,1538.7168,20.477,2.79E-10
5.394,10,0,1538.7167,20.47,2.79E-10
5.404,10,0,1538.7166,20.462,2.79E-10
5.414,10,0,1538.7166,20.462,2.79E-10
5.424,10,0,1538.7164,20.448,2.78E-10
5.434,10,0,1538.7165,20.455,2.78E-10
5.444,10,0,1538.7165,20.455,2.78E-10
5.454,10,0,1538.7165,20.455,2.78E-10
5.464,10,0,1538.7165,20.455,2.78E-10
5.474,10,0,1538.7165,20.455,2.78E-10
5.484,10,0,1538.7165,20.455,2.78E-10
5.494,10,0,1538.7166,20.462,2.79E-10
5.504,10,0,1538.7166,20.462,2.79E-10
5.514,10,0,1538.7168,20.477,2.79E-10
5.524,10,0,1538.7167,20.47,2.79E-10
5.534,10,0,1538.7167,20.47,2.79E-10
5.544,10,0,1538.7167,20.47,2.79E-10
5.554,10,0,1538.7169,20.484,2.79E-10
5.564,10,0,1538.7168,20.477,2.79E-10
5.574,10,0,1538.7168,20.477,2.79E-10
5.584,10,0,1538.7169,20.484,2.79E-10
5.594,10,0,1538.717,20.492,2.79E-10
5.604,10,0,1538.717,20.492,2.79E-10
5.614,10,0,1538.717,20.492,2.79E-10
5.624,10,0,1538.7171,20.499,2.79E-10
5.634,10,0,1538.717,20.492,2.79E-10
5.644,10,0,1538.7171,20.499,2.79E-10
5.654,10,0,1538.7171,20.499,2.79E-10
5.664,10,0,1538.7172,20.507,2.79E-10
5.674,10,0,1538.7172,20.507,2.79E-10
5.684,10,0,1538.7173,20.514,2.79E-10
5.694,10,0,1538.7173,20.514,2.79E-10
5.704,10,0,1538.7174,20.521,2.79E-10
5.714,10,0,1538.7173,20.514,2.79E-10
5.724,10,0,1538.7174,20.521,2.79E-10
5.734,10,0,1538.7174,20.521,2.79E-10
5.744,10,0,1538.7174,20.521,2.79E-10
5.754,10,0,1538.7175,20.529,2.79E-10
5.764,10,0,1538.7177,20.543,2.80E-10
5.774,10,0,1538.7176,20.536,2.80E-10
5.784,10,0,1538.7176,20.536,2.80E-10
5.794,10,0,1538.7178,20.551,2.80E-10
5.804,10,0,1538.7177,20.543,2.80E-10
5.814,10,0,1538.7177,20.543,2.80E-10
5.824,10,0,1538.7178,20.551,2.80E-10
